No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,timestamp
1,2013,3,1,0,9,9,6,17,200,62,0.3,1021.9,-19,0,WNW,2,Wanshouxigong,3/1/2013 00:00:00
2,2013,3,1,1,11,11,7,14,200,66,-0.1,1022.4,-19.3,0,WNW,4.4,Wanshouxigong,3/1/2013 01:00:00
3,2013,3,1,2,8,8,17.14860311,16,200,59,-0.6,1022.6,-19.7,0,WNW,4.7,Wanshouxigong,3/1/2013 02:00:00
4,2013,3,1,3,8,8,3,16,1370.395031,56.22990354,-0.7,1023.5,-20.9,0,NW,2.6,Wanshouxigong,3/1/2013 03:00:00
5,2013,3,1,4,8,8,3,55.52956014,300,36,-0.9,1024.1,-21.7,0,WNW,2.5,Wanshouxigong,3/1/2013 04:00:00
6,2013,3,1,5,10,10,4,8,200,64,-1.6,1024.7,-21.1,0,NE,2,Wanshouxigong,3/1/2013 05:00:00
7,2013,3,1,6,8,8,6,13,300,61,-2.4,1025.4,-20.3,0,NE,2.3,Wanshouxigong,3/1/2013 06:00:00
8,2013,3,1,7,8,8,8,20,300,54,-0.8,1026.7,-19.9,0,NNE,2,Wanshouxigong,3/1/2013 07:00:00
9,2013,3,1,8,3,6,9,23,300,50,0.4,1027.3,-19.4,0,NE,2.7,Wanshouxigong,3/1/2013 08:00:00
10,2013,3,1,9,3,6,10,18,300,56,1.5,1027.4,-19.7,0,ENE,2.9,Wanshouxigong,3/1/2013 09:00:00
11,2013,3,1,10,3,6,11,15,300,61,2.1,1027.3,-21.2,0,NNE,4.8,Wanshouxigong,3/1/2013 10:00:00
12,2013,3,1,11,3,6,9,14,300,62,3.1,1027.2,-21.1,0,N,4.1,Wanshouxigong,3/1/2013 11:00:00
13,2013,3,1,12,3,6,8,10,300,67,4.7,1026.3,-20.6,0,ESE,1.6,Wanshouxigong,3/1/2013 12:00:00
